V1,V2,V3,V4,V7,V8,V9,V10,Referer,Source,condition,xicondition,Email_time_1,Email_time_2,Email_time_3,Email_time_4,Previously,Q2,Q89,Q90,Q95,Q92_1,Q92_2,Q92_3,Q92_5,Q92_6,Q92_7,Q92_8,Q94_1,Q94_2,Q94_3,Q94_4,Q94_5,Q94_6,Q94_7,Q94_8,Q94_9,Q3,Q4,Q5,Q6,Q7,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q17_1,Q18_1,Q19_1,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22_1,Q39,Q40_1,Q41_1,Q25,Q26,Q27,Q28,Q43,Q44,Q30,Q31,Q33,Q34,Q42,Q35,Q38,study,lab,share,RO.BR.FL_3,RO.BR.FL_8,LocationLatitude,LocationLongitude,LocationAccuracy,X,Birth.Year,Contact,Country,Education,English,Gender,H.Origins,Hispanic,Housing,Ideo.scale.con,Ideo.scale.ind,Ideo.scale.lib,Ideology,Language,Live.in.US,Marital,Occupation,Party,Party.2,Party.scale.dem,Party.scale.other,Party.scale.other_TEXT,Party.scale.rep,Race,Race_TEXT,Rel.Importance,Religion,Residence,Salary,Zip.Code,Zip.Code.2,Age
R_3Rm7O5Hd4x6ga15,null,Anonymous,,0,2/3/21 15:26,2/3/21 15:38,1,,,peoplesdaily,party,4.886,11.008,11.781,5,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,5.101,18.189,19.013,7,2,1,1,Critical threat,Support,Oppose,Support,Support,Oppose,Support,9,China Daily,1,1,30-60 minutes,High familiarity with the news,Never,Totally disagree,Radio,Extremely well,1,,1,More likely to support the U.S.,More likely to support China,Yes,1,,,Yes,FL_21,FL_15|FL_16,32.71040344,-117.0527954,-1,NA,1974,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,"Mexico, Mexican-American, Chicano",Yes,Own,Lean Conservative,,,Conservative,,Yes,Married,Property manager,Republican,,,,,Strong Republican,White,,Somewhat agree,Mainline Protestant,,"$120,000-$134,999",92071,92071,46
R_2aUEw7Hn2juCHx3,null,Anonymous,,0,2/3/21 22:11,2/3/21 22:23,1,,,nytcw,party,0,0,3.997,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,23.523,58.52,60.89,3,60,3,9,Critical threat,Support,Support,,,Support,Support,75,China Daily,3,4,Less than 30 minutes,Average familiarity with the news,About half the time,Totally disagree,"Facebook, Twitter and other social media",Somewhat well,1,,1,More likely to support China,More likely to support China,Yes,1,,,Yes,FL_18,FL_15|FL_16,46.98429871,-123.7962952,-1,NA,1967,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,,Own,Strong Conservative,,,Conservative,,Yes,Married,Pulp mill supervisor,Other,,,Closer Republicans,,,White,,Disagree,None,,"$150,000 and over",98520,98520,53
R_1ex7nnELmTNyLI6,null,Anonymous,,0,2/3/21 17:48,2/3/21 17:56,1,,,peoplesdaily,party,0,0,5.193,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,10.275,36.752,39.999,5,70,4,8,Important but not critical threat,Oppose,Oppose,Support,,Support,Oppose,90,Not sure,4,6,30-60 minutes,High familiarity with the news,Sometimes,Somewhat disagree,Blogs and other websites,Very well,1,,1,Not sure,More likely to support the U.S.,No,1,,,No,FL_21,FL_15|FL_16,34.81329346,-85.49590302,-1,NA,1956,"Yes, both",United States of America,Master's,Yes,Male,,,Own,NA,Neither,NA,Neither,NA,Yes,Married,IT,Other,,NA,Neither,NA,NA,White,NA,Strongly agree,Other Christian,,"$135,000-$149,999",30738,30738,64
R_1lskdWlNPFmBGd0,null,Anonymous,,0,2/3/21 16:51,2/3/21 17:06,1,,,nytbase,children,2.948,22.498,23.339,5,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,0.84,61.553,62.498,35,1,1,8,Critical threat,Support,Support,Support,Support,Support,Support,93,The New York Times,1,1,More than 2 hours,High familiarity with the news,Sometimes,Somewhat disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Very well,1,1,,More likely to support the U.S.,More likely to support the U.S.,Not sure,1,"Immediately after reading the article I noted that it could have been written by a marketing firm for the CCP. It is very worrisome that China is attempting to infiltrate American news media with CCP propaganda. Unfortunately, American journalism is already quite dead.",,No,FL_17,FL_16|FL_15,31.94490051,-89.2338028,-1,NA,1956,"Yes, both",United States of America,Master's,Yes,Female,,No,Own,Strong Conservative,NA,NA,Conservative,,Yes,Married,Instructor,Republican,,NA,NA,NA,Strong Republican,White,NA,Agree,Evangelical Protestant,,"$75,000-$89,999",39168,39168,64
R_29upapxxQ20fHoR,null,Anonymous,,0,2/3/21 15:46,2/3/21 15:55,1,,,peoplesdaily,party,0,0,94.608,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,4.702,21.348,22.545,4,26,1,7,Critical threat,Support,Support,Support,Support,,Support,81,People.cn (China's People's Daily),1,3,1-2 hours,High familiarity with the news,Never,Totally disagree,Blogs and other websites,Very well,1,,1,More likely to support the U.S.,More likely to support the U.S.,Not sure,1,"I found the following question to be problematic: ""Many Chinese immigrants and Chinese Americans work for the U.S. government and U.S. companies as researchers, scientists, and engineers. Do you think these individuals pose a security risk to the U.S.?"" /  / There is distinct difference in security risk levels between Chinese citizens on work visas or other programs in the U.S., Chinese Americans (U.S. citizens of Chinese descent), and Chinese immigrants who are not yet citizens.",,No,FL_21,FL_15|FL_16,46.98429871,-123.7962952,-1,NA,1968,"Yes, both",United States of America,High school graduate,Yes,Male,,,Own,NA,Neither,NA,Neither,NA,Yes,Married,Cyber security,Other,,NA,Neither,Libertarian,NA,White,NA,Strongly agree,Evangelical Protestant,,"$75,000-$89,999",98563,98520,52
R_UyyfNskAyiyamBj,null,Anonymous,,0,2/4/21 8:13,2/4/21 8:20,1,,,peoplesdaily,children,2.379,2.379,4.065,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,7.568,50.8,55.868,15,51,3,7,Important but not critical threat,Support,Support,Support,Oppose,Support,Oppose,71,People.cn (China's People's Daily),6,4,1-2 hours,Average familiarity with the news,About half the time,Neither agree nor disagree,Newspapers and news magazines,Not at all,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_21,FL_16|FL_15,41.91549683,-71.67949677,-1,NA,1958,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,No,Own,NA,NA,Strong Liberal,Liberal,,Yes,Married,retired bookseller manager,Democrat,,Strong Democrat,NA,NA,NA,White,NA,Neither agree nor disagree,Other Christian,,"$60,000-$74,999",2830,2144,62
R_1pFQ01wtjiaW5qM,null,Anonymous,,0,2/3/21 19:47,2/3/21 19:57,1,,,nytbase,party,0,0,4.04,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,4.651,51.946,53.833,7,0,1,8,Critical threat,Support,Support,Support,Support,Oppose,Support,100,The New York Times,1,1,0 hours,Low familiarity with the news,Never,Totally disagree,Blogs and other websites,Extremely well,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_17,FL_15|FL_16,33.91459656,-82.27189636,-1,NA,1955,"Yes, both",United States of America,Master's,Yes,Male,,No,NA,NA,NA,NA,Conservative,,Yes,NA,Retired Military,Republican,,NA,NA,NA,NA,White,NA,NA,NA,,"$110,000-$119,999",29835,92057,65
R_1pFQ01wtjiaW5qM,null,Anonymous,,0,2/3/21 19:47,2/3/21 19:57,1,,,nytbase,party,0,0,4.04,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,4.651,51.946,53.833,7,0,1,8,Critical threat,Support,Support,Support,Support,Oppose,Support,100,The New York Times,1,1,0 hours,Low familiarity with the news,Never,Totally disagree,Blogs and other websites,Extremely well,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_17,FL_15|FL_16,33.91459656,-82.27189636,-1,NA,1955,"Yes, both",United States of America,Master's,Yes,Male,,,Own,Strong Conservative,,,Conservative,,Yes,Married,Retired Military,Republican,,,,,Strong Republican,White,,Strongly agree,Evangelical Protestant,,"$110,000-$119,999",29835,92054,65
R_1Ovl7Z3OjL9tvMf,null,Anonymous,,0,2/5/21 14:20,2/5/21 14:41,1,,,facebookcw,party,2.814,4.57,5.685,3,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,1,,0.665,41.409,50.607,10,30,3,8,Critical threat,Support,Support,Support,Support,Support,Support,84,China Daily,5,5,1-2 hours,High familiarity with the news,Sometimes,Somewhat disagree,Blogs and other websites,Not very well,1,,1,More likely to support the U.S.,More likely to support the U.S.,Yes,1,Security clearances often require that a person be born in the USA. /  / Immigrants would require a waiver or special review. /  / Grouping Immigrants and native born citizens of Chinese decent together  creates a difficult question.  /  / Many immigrants have escaped Totalitarianism and are great assets. / Some could be long term sleepers.,,Yes,FL_20,FL_15|FL_16,33.01759338,-96.99259949,-1,NA,1968,"Yes, both",United States of America,Associate's Degree,Yes,Male,,,Own,,Neither,,Neither,,Yes,Married,Truck Driver,Other,,,Neither,Libertarian,Strong Republican,White,,Agree,Other Christian,,"$120,000-$134,999",30295,30295,52
R_3CT2VRZ9FjHEQup,null,Anonymous,,0,2/4/21 8:36,2/4/21 8:44,1,,,facebookcw,party,1.498,1.498,2.895,1,Yes,1,1,Yes,,Hispanic or Latino,,,Hispanic or Latino,,,,,,,,,,,,,1,,,,1,,6.663,28.139,28.97,9,4,1,8,Critical threat,Support,Support,Support,Support,,Support,67,China Daily,4,5,More than 2 hours,High familiarity with the news,Sometimes,Totally disagree,Blogs and other websites,Very well,1,,1,Not sure,Not sure,Not sure,1,,,,FL_20,FL_15|FL_16,40.32279968,-86.88809967,-1,NA,1993,"Yes, both",United States of America,Associate's Degree,Yes,Other/Prefer not to answer,,,Rent,NA,Lean Conservative,NA,Neither,NA,Yes,Never married,Unemployed,Other,,NA,Neither,Libertarian,NA,Hispanic or Latino,NA,Strongly agree,Catholic,,"$20,000-$21,999",47909,48307,27
R_1dnsMAjvTlS1RYB,null,Anonymous,,0,2/3/21 15:09,2/3/21 15:15,1,,,facebookcw,party,0,0,4.254,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,1,,5.61,20.302,21.192,5,0,1,8,Critical threat,Support,Support,,Support,,,5,China Daily,1,1,1-2 hours,Average familiarity with the news,Never,Totally disagree,Blogs and other websites,Extremely well,1,,1,More likely to support China,More likely to support China,Yes,1,You know it's not just opinion when you firsthand some of these things occur.,,,FL_20,FL_15|FL_16,40.74159241,-84.15219879,-1,NA,1966,"Yes, both",United States of America,Ph.D.,Yes,Male,,,Own,,Lean Conservative,,Neither,,Yes,Divorced,Scientist,Other,,,Neither,Constitution Party,,White,,Strongly agree,Other Christian,,"$150,000 and over",22003,45805,54
R_12Dv2desurcz1JO,null,Anonymous,,0,2/3/21 15:19,2/3/21 15:25,1,,,peoplesdaily,party,1.772,1.772,3.723,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,2.382,30.226,34.888,15,19,3,6,Critical threat,Support,Support,Support,Support,Oppose,Oppose,82,People.cn (China's People's Daily),2,3,1-2 hours,Average familiarity with the news,Sometimes,Totally disagree,Radio,Somewhat well,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,,,No,FL_21,FL_15|FL_16,39.23179626,-85.88839722,-1,NA,1972,"Yes, both",Russian Federation,B.A. or B.S.,Yes,Female,,,Own,,Neither,,Neither,,Yes,Married,Engineer,,,,,,,White,,Disagree,Atheist,,"$75,000-$89,999",47203,46803,48
R_22LhwLsxsRu5hlA,null,Anonymous,,0,2/3/21 17:20,2/3/21 17:26,1,,,nytcw,children,6.639,9.208,10.418,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,7.563,37.258,38.508,7,30,2,7,Critical threat,Support,,Support,Support,,Support,41,The New York Times,1,2,30-60 minutes,Average familiarity with the news,Never,Totally disagree,Newspapers and news magazines,Extremely well,1,1,,More likely to support China,More likely to support China,Yes,1,,,No,FL_18,FL_16|FL_15,41.6197052,-83.72820282,-1,NA,1968,"Yes, both",United States of America,High school graduate,Yes,Male,,No,NA,NA,NA,NA,Conservative,,Yes,NA,Customer Servive,Republican,,NA,NA,NA,NA,White,NA,NA,NA,,"$40,000-$44,999",43615,43615,52
R_ugdJzd8OK8Gaf9T,null,Anonymous,,0,2/3/21 16:14,2/3/21 16:21,1,,,peoplesdaily,party,99.207,99.207,104.461,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,11.351,32.062,32.707,10,20,1,8,Critical threat,Oppose,Oppose,Support,Oppose,Support,Oppose,95,Not sure,4,3,30-60 minutes,High familiarity with the news,Most of the time,Neither agree nor disagree,Radio,Not at all,1,,1,Not sure,Not sure,No,1,,,Yes,FL_21,FL_15|FL_16,39.02999878,-84.55899811,-1,NA,1980,"Yes, both",United States of America,B.A. or B.S.,Yes,Male,,,Own,NA,NA,Strong Liberal,Liberal,NA,Yes,Married,Information Security Management,Democrat,,Lean Democrat,NA,NA,NA,White,NA,Strongly disagree,Atheist,,"$150,000 and over",41017,41051,40
R_2aM3xSx4uYtsQqa,null,Anonymous,,0,2/3/21 16:20,2/3/21 16:40,1,,,foxcw,children,15.432,15.432,17.193,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,7.551,123.19,125.144,26,81,5,9,Critical threat,Support,Support,Support,Oppose,Support,Support,90,Not sure,5,6,1-2 hours,High familiarity with the news,About half the time,Totally disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,1,1,,More likely to support China,More likely to support China,No,1,,,No,FL_19,FL_16|FL_15,34.10820007,-118.1568985,-1,NA,1943,"Yes, both",United States of America,Master's,Yes,Male,,No,NA,NA,NA,NA,Liberal,,Yes,NA,Retired,Democrat,,NA,NA,NA,NA,White,NA,NA,NA,,"$90,000-$99,999",91106,91106,77
R_PteTuGukU7uz3uV,null,Anonymous,,0,2/4/21 0:57,2/4/21 1:04,1,,,peoplesdaily,party,0,0,3.051,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,7.902,21.822,23.421,5,19,2,6,Critical threat,Support,Support,Support,Support,Support,,63,People.cn (China's People's Daily),3,2,1-2 hours,Average familiarity with the news,Sometimes,Somewhat disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,1,,1,More likely to support the U.S.,More likely to support the U.S.,Not sure,1,"Re  the last set of questions.  /  / There's a BIG difference between Chinese Americans (i.e. US citizens of Chinese origin) and non-citizen Chinese people studying and working in the US, /  / The former are likely to be strongly anti-CCP, while the latter might well be CCP sympathizers.",,Yes,FL_21,FL_15|FL_16,34.21980286,-111.2878036,-1,NA,1950,"Yes, both",United Kingdom of Great Britain and Northern Ireland,B.A. or B.S.,Yes,Male,,,Rent,NA,Neither,NA,Neither,NA,Yes,Divorced,Retired (previously database admin.),,,NA,NA,NA,NA,White,NA,Neither agree nor disagree,Agnostic,,"$40,000-$44,999",85382,2169,70
R_2E0jHX7MLPswdUW,null,Anonymous,,0,2/4/21 9:53,2/4/21 10:01,1,,,foxcw,party,0,0,3.467,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,11.591,34.796,36.967,3,30,3,9,Important but not critical threat,,Oppose,Support,Oppose,Support,,81,China Daily,2,2,1-2 hours,Average familiarity with the news,Never,Somewhat disagree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Not very well,1,,1,Not sure,More likely to support the U.S.,Yes,1,,,No,FL_19,FL_15|FL_16,31.57910156,-84.21379852,-1,NA,1966,Only research participation opportunities,United States of America,Master's,Yes,Male,,,Own,NA,Neither,NA,Neither,,Yes,Married,Executive,Other,,NA,Neither,NA,NA,White,NA,Somewhat agree,Catholic,,"$150,000 and over",31763,36575,54
R_3JxaWXUjArPpD4j,null,Anonymous,,0,2/3/21 21:13,2/3/21 21:19,1,,,nytbase,children,0,0,2.098,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,7.864,32.284,33.913,4,5,1,8,Important but not critical threat,,,Support,,,,45,The New York Times,1,1,Less than 30 minutes,Low familiarity with the news,Never,Totally disagree,Blogs and other websites,Somewhat well,1,1,,Not sure,Not sure,Not sure,1,,,Yes,FL_17,FL_16|FL_15,44.00900269,-92.3934021,-1,NA,1982,Only research participation opportunities,United States of America,Associate's Degree,Yes,Male,,,Rent,,,Lean Liberal,Liberal,,Yes,Never married,Salesperson,Other,,,Neither,,,White,,Strongly disagree,Agnostic,,"$22,000-$24,999",55902,93535,38
R_PIjQKrJkEcQdUtP,null,Anonymous,,0,2/3/21 18:36,2/3/21 18:48,1,,,foxcw,children,0,0,4.786,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,16.951,63.161,65.924,7,2,1,3,Critical threat,Support,Support,Support,Support,Support,Support,34,Fox News,2,2,More than 2 hours,Complete familiarity with the news,Sometimes,Totally disagree,Blogs and other websites,Extremely well,1,1,,Not sure,More likely to support the U.S.,Not sure,1,The Chinese Communists are never to be trusted. They want to take over our nation but they are smart enough to know they could never do so by force of arms. That's where their pals in the Democrat party come in. That senile half wit the cheated to put in the White House has been taking Chinese money for a long time. Ask Tony Bobulinski if you can find him.,,Yes,FL_19,FL_16|FL_15,26.17829895,-80.27339935,-1,NA,1946,"Yes, both",United States of America,Ph.D.,Yes,Male,,,Own,Strong Conservative,,,Conservative,,Yes,Married,Retired,Republican,,,,,Strong Republican,White,,Strongly agree,Catholic,,"$90,000-$99,999",10308,10308,74
R_1E67aqBnnrrNhSp,null,Anonymous,,0,2/3/21 16:42,2/3/21 16:50,1,,,foxcw,party,0,0,11.726,0,Yes,1,1,Yes,,White,,,,,,Other,,,,,,,,,,1,,,1,,,11.93,42.693,47.526,5,54,1,8,Critical threat,Support,Support,Support,Oppose,Support,Support,81,China Daily,2,4,More than 2 hours,High familiarity with the news,Sometimes,Totally disagree,Newspapers and news magazines,Very well,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_19,FL_15|FL_16,33.49099731,-112.169899,-1,NA,1952,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,,Own,Strong Conservative,,,Conservative,,Yes,Married,"Nuclear Engineer, Retired",Republican,,,,,Strong Republican,White,,Strongly agree,Other Christian,,"$120,000-$134,999",85355,85355,68
R_2pMsxAadyg5EQmA,null,Anonymous,,0,2/3/21 15:16,2/3/21 15:19,1,https://mail.google.com/,,nytbase,children,2.81,2.81,4.596,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,6.102,25.902,27.23,10,57,2,6,Important but not critical threat,Oppose,Oppose,Support,,Support,Oppose,95,The New York Times,6,4,More than 2 hours,High familiarity with the news,Most of the time,Somewhat agree,Radio,Not at all,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,No,FL_17,FL_16|FL_15,47.30119324,-122.206604,-1,NA,1970,Only research participation opportunities,United States of America,B.A. or B.S.,Yes,Male,,No,,,,,Liberal,,Yes,,Human Resources Manager,Democrat,,,,,,White,,,,,"$75,000-$89,999",97035,97229,50
R_1ondhUeSCakwhOl,null,Anonymous,,0,2/3/21 21:47,2/3/21 21:54,1,,,nytcw,party,0,0,17.652,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,16.56,38.559,47.635,3,50,2,8,Critical threat,,Support,Support,Support,,,92,Not sure,4,4,30-60 minutes,Average familiarity with the news,Sometimes,Somewhat disagree,Blogs and other websites,Somewhat well,1,,1,Not sure,Not sure,No,1,,,No,FL_18,FL_15|FL_16,39.5953064,-79.92289734,-1,NA,1967,"No, do not contact me",United States of America,Master's,Yes,Female,,No,NA,NA,NA,NA,Conservative,,Yes,NA,Programmer,Other,Republicans,NA,NA,NA,NA,White,NA,NA,NA,,"$50,000-$59,999",26505,81611,53
R_2zMTRrLD0gdOiOQ,null,Anonymous,,0,2/3/21 15:10,2/3/21 15:21,1,,,peoplesdaily,party,0,0,5.007,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,19.293,38.223,39.623,3,20,2,6,Critical threat,Support,Support,Support,,Oppose,Support,60,People.cn (China's People's Daily),2,2,More than 2 hours,High familiarity with the news,Sometimes,Somewhat disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,1,,1,More likely to support the U.S.,More likely to support the U.S.,Not sure,1,You asked about getting news from cable news sources.  There is a big difference between getting news from MSNBC and CNN v. Fox News and NewsMax.,,Yes,FL_21,FL_15|FL_16,29.55310059,-98.35980225,-1,NA,1947,"Yes, both",United States of America,Ph.D.,Yes,Male,,,Own,Strong Conservative,NA,NA,Conservative,,Yes,Married,Retired,Republican,,NA,NA,NA,Strong Republican,White,NA,Strongly agree,Catholic,,"$150,000 and over",78266,78266,73
R_2tumiVB2cIOTqgM,null,Anonymous,,0,2/3/21 16:02,2/3/21 16:13,1,,,foxcw,party,1.534,1.534,7.701,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,1,,,2.286,55.167,56.16,23,50,4,8,Important but not critical threat,Oppose,Oppose,Support,Oppose,Oppose,,100,China Daily,4,5,More than 2 hours,Average familiarity with the news,Most of the time,Neither agree nor disagree,"Network TV news broadcasts (For example: ABC, CBS, or NBC)",Not at all,1,,1,More likely to support China,More likely to support China,No,1,,,Yes,FL_19,FL_15|FL_16,44.07850647,-69.74569702,-1,NA,1958,"Yes, both",United States of America,B.A. or B.S.,Yes,Female,,No,Own,NA,NA,Strong Liberal,Liberal,,Yes,Divorced,Caregiver,Democrat,,Strong Democrat,NA,NA,NA,White,NA,Strongly disagree,Atheist,,"None or less than $2,999",4538,4538,62
R_1MS3y6NbulBdZaQ,null,Anonymous,,0,2/5/21 10:18,2/5/21 10:24,1,,,foxcw,children,0,0,8.085,0,Yes,1,1,Yes,,"White,Asian",Japanese,Asian,,,,,,,,,Japanese,,,,,1,,,1,,,10.961,36.922,38.544,5,20,1,8,Critical threat,Support,Support,Support,Support,Support,Support,93,China Daily,1,1,More than 2 hours,Average familiarity with the news,Sometimes,Totally disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Extremely well,1,1,,More likely to support the U.S.,More likely to support the U.S.,Yes,1,,,Yes,FL_19,FL_16|FL_15,45.41760254,-122.4589996,-1,NA,1954,"Yes, both",Japan,High school graduate,Yes,Male,,No,Own,Strong Conservative,NA,NA,Conservative,,Yes,Married,Retired,,,NA,NA,NA,NA,Asian,NA,Somewhat agree,Other Christian,,"$60,000-$74,999",97089,98650,66
R_OrG7Kx1V4xWrTqx,null,Anonymous,,0,2/9/21 23:24,2/9/21 23:31,1,,,peoplesdaily,party,1.757,1.757,5.268,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,,,,1,4.936,36.375,39.422,4,0,1,7,Critical threat,,Support,Oppose,Support,Oppose,,50,People.cn (China's People's Daily),1,1,More than 2 hours,High familiarity with the news,Sometimes,Totally disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,1,,1,More likely to support China,Not sure,Yes,1,,,Yes,FL_21,FL_15|FL_16,39.13900757,-84.42960358,-1,NA,1958,"Yes, both",United States of America,Ph.D.,Yes,Male,,No,NA,NA,NA,NA,Conservative,,Yes,NA,Biochemist,Other,Republicans,NA,NA,NA,NA,White,NA,NA,NA,,"$50,000-$59,999",45207,45207,62
R_3qEk46PUed1IVPe,null,Anonymous,,0,2/5/21 7:29,2/5/21 7:36,1,,,nytbase,children,1.339,1.339,3.455,1,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,1.553,44.588,45.686,12,10,1,7,Critical threat,Support,Support,Support,Support,Oppose,Support,90,The New York Times,3,3,More than 2 hours,High familiarity with the news,Sometimes,Somewhat disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Somewhat well,1,1,,More likely to support China,More likely to support China,Yes,1,,,No,FL_17,FL_16|FL_15,29.94749451,-81.52639771,-1,NA,NA,,,,,,,,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,,,,,
R_33y9uagklyfmEwI,null,Anonymous,,0,2/3/21 22:56,2/3/21 23:04,1,,,nytbase,children,1.933,2.783,4.186,2,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,17.002,48.275,55.466,15,61,4,8,Not an important threat at all,Oppose,Oppose,Oppose,Oppose,Support,Oppose,75,The New York Times,6,5,1-2 hours,High familiarity with the news,Most of the time,Somewhat agree,Newspapers and news magazines,Not very well,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,No,FL_17,FL_16|FL_15,44.97019958,-93.30470276,-1,NA,1991,"Yes, both",United States of America,High school graduate,Yes,Female,,No,Some other arrangement,,Lean Liberal,,Neither,,Yes,Never married,n/a,Other,Democrats,,Neither,Democratic Socialist,,White,,Disagree,Atheist,,"$5,000 -$7,499",55424,55424,29
R_s5zIMS5wnexrgwV,null,Anonymous,,0,2/4/21 11:37,2/4/21 11:45,1,,,nytcw,party,0,0,4.734,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,,1,,,,10.758,40.702,42.847,3,50,3,8,Critical threat,Support,Oppose,Support,Oppose,Support,Oppose,80,China Daily,5,4,More than 2 hours,High familiarity with the news,Most of the time,Neither agree nor disagree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not at all,1,,1,More likely to support the U.S.,More likely to support the U.S.,No,1,,,Yes,FL_18,FL_15|FL_16,43.09080505,-77.43479919,-1,NA,1950,"Yes, both",United States of America,M.D.,Yes,Male,,No,Own,NA,Lean Liberal,NA,Neither,,Yes,Married,"Veterinarian, part time.",Other,Democrats,NA,Closer to Democrats,NA,NA,White,NA,Disagree,None,,"$75,000-$89,999",14534,14534,70
R_PSRWDJ3HkTSdaUx,null,Anonymous,,0,2/8/21 11:32,2/8/21 11:36,1,,,nytbase,children,0,0,3.945,0,Yes,1,1,Yes,,White,,,,,,,,,,,,,,,,1,1,,,,,3.196,14.281,14.992,5,27,3,7,Critical threat,,,Support,,Support,,81,The New York Times,6,5,30-60 minutes,Average familiarity with the news,Most of the time,Neither agree nor disagree,Newspapers and news magazines,Not at all,1,1,,More likely to support the U.S.,More likely to support the U.S.,No,1,,,,FL_17,FL_16|FL_15,39.73210144,-104.9554977,-1,NA,1971,"Yes, both",United States of America,Master's,Yes,Male,,No,NA,NA,NA,NA,Liberal,,Yes,NA,Consultant,Other,Democrats,NA,NA,NA,NA,White,NA,NA,NA,,"$120,000-$134,999",80227,80465,49
R_27xU9d6mhhskHJi,null,Anonymous,,0,2/3/21 15:27,2/3/21 15:41,1,,,nytcw,party,8.391,8.391,9.795,1,Yes,1,1,Yes,,Hispanic,,,Hispanic or Latino,,,,,,,,,,,,,1,,1,,,,1.722,82.79,83.693,23,60,3,5,Critical threat,Oppose,Support,Support,Oppose,Support,Support,80,China Daily,3,2,1-2 hours,High familiarity with the news,Most of the time,Somewhat agree,"Cable TV news broadcasts (For example: CNN, Fox News, or MSNBC)",Not at all,1,,1,Not sure,More likely to support the U.S.,Not sure,1,,,Yes,FL_18,FL_15|FL_16,34.78140259,-106.7139969,-1,NA,1952,"Yes, both",United States of America,Master's,Yes,Male,Puerto Rico,Yes,NA,NA,NA,NA,Liberal,,Yes,NA,Retired,Other,Democrats,NA,NA,NA,NA,White,NA,NA,NA,,"$75,000-$89,999",87031,12721,68
